default,student,balance,income
No,No,928.2369663,33722.15894
No,No,1373.450163,49101.798214189694
No,Yes,951.0729075,18601.53324
No,Yes,1292.210869,23065.85098
No,No,582.1887007,24760.79573
No,Yes,339.42463828091303,19307.98029
No,No,409.9823246,44641.09012
No,No,1216.4515095543302,53639.846827384295
No,No,598.4613921,44124.26811
Yes,Yes,1486.998122,17854.39703
No,No,943.7963387,59976.839867644405
No,No,0,49525.745020849405
No,Yes,996.2760868,20883.24077
No,Yes,748.3013404,11248.67075
No,No,324.7379218,15411.51857
No,Yes,575.3821585,16005.68132
No,No,441.73828492625296,36012.2359
No,No,1188.64218,39526.56127
No,No,95.14768019040552,51371.19991
No,No,1015.614837,43218.79438
No,No,1258.5673927256698,44931.67492
No,Yes,1178.244414,7750.289220559209
No,No,731.5326563,43956.06008
No,No,350.0887921,44455.19952
No,No,418.8483454,36901.78332812021
No,No,533.2294651813739,39393.54248
No,No,95.29697413,32359.38903
No,Yes,1453.0059320730302,15933.00211
No,No,352.644414,39404.74437
No,Yes,736.2389355,14107.99397
No,No,1306.484572,41224.62502
No,No,1149.145627,45194.79466
No,No,703.2268907,57679.27914
No,Yes,1360.800435,18864.30849
No,No,31.44508054,53287.3503
No,No,988.2144581,48570.363456632695
No,No,360.0190736,23927.54661
No,No,647.4835286,33226.27754
No,Yes,0,9816.789438
No,No,445.2418192,31974.62451
No,Yes,878.5420645,17496.74148
No,Yes,335.8341186,21759.87027
No,No,666.6088814,30438.46883
No,No,813.8766470198641,40737.45978
No,No,836.3000716231911,54607.17874
No,No,967.4826837,33055.11027
Yes,Yes,2205.799521,14271.49225
No,Yes,1258.185219,11672.222
No,No,1239.801699,40107.17221
No,Yes,0,13760.29846
No,Yes,927.8877322636072,22473.37961
No,Yes,1390.030783,21299.09923
No,No,410.4977048,53471.213630325496
No,No,73.07654218,30681.737535146804
No,No,790.5977592,45303.10331412611
No,No,789.4950969838201,32579.90021
No,No,791.3604221,46319.23612
No,No,479.042379,37255.88033
No,No,888.6132726,28899.79175
No,No,1284.386361,42831.95462
No,Yes,712.2763513,23341.95023
No,Yes,1290.620169,18408.04908
No,No,126.3626854,44280.92979
No,No,779.3762576956509,61158.88511
No,No,697.4909575,49476.7596
No,No,606.9746135,43610.03302
No,Yes,1802.903334,21411.42395
No,No,900.0853325974989,41276.56319
No,No,966.280288,33440.9793
No,No,671.0613596391639,35689.11187
No,No,171.559116,23505.99277
No,No,1482.4803,45260.6116
No,No,640.6627517,46464.56593
No,Yes,706.1610275,18078.35179
Yes,Yes,1774.694223,20359.50609
No,No,916.4993169,25768.40745
No,No,1271.270812,36053.50295
No,No,110.5729098,47339.10875
No,No,1747.258882,37819.28909
Yes,No,1889.59919,48956.17159
No,No,27.20139465,21051.84013
No,No,746.2297750573911,35159.85023
Yes,Yes,1899.390626,20655.2
No,Yes,813.9945655,20391.528948171297
No,No,499.4578151,38899.16046
No,No,853.1613317,36272.451783591096
No,No,474.7273191,32064.335105797403
No,No,1235.876113,35838.77702
No,No,620.6751526,44213.7701
No,No,220.0285698,37880.02965
No,Yes,1304.9142993182902,18074.07542
No,Yes,1608.15256,22358.0467
No,No,256.47122755981496,37657.05592
No,Yes,1153.604998,19224.97523
No,No,771.8958745,31170.085283676603
No,Yes,1099.630422,17064.04283
No,No,782.8830296639051,40357.13343
No,No,444.2649062,35924.33879
No,No,504.0283787,24780.96124
No,No,1762.503402,42124.66007
No,Yes,850.0961166,18618.987907501894
No,No,1412.2387213031698,40785.059769421205
No,No,715.4968296,47482.56538
No,No,1363.528599,55713.04161
No,No,493.24188979938697,42495.20308
No,No,1354.752537,33375.13169
No,Yes,571.293911,15416.26935
No,No,956.1513522,44086.70773423139
No,No,964.820253,34390.74604
No,No,552.634366,50513.16424
No,No,338.26620164709203,37767.23986
No,No,709.1233514,44041.63009
No,No,978.9782004,57839.05373437361
No,No,371.0101278,15702.70708
Yes,Yes,1572.856481,14930.17833
No,No,0,40150.21798
Yes,No,1964.476872,39054.589144313904
No,No,548.0377834,33605.649468657204
No,No,1257.055222,34045.00882
No,No,1189.918057,38016.8939
No,No,687.6837590148731,39373.57975
No,No,845.6989658385339,39899.51268
No,Yes,957.6848338,19676.34565
No,No,233.51684626705105,43326.10538
No,Yes,1126.948744,14298.26457
No,Yes,488.8551765,15159.49485
No,No,767.9035598,44323.57966380059
No,No,561.9257991,31388.50565
No,Yes,1092.270013,17454.601839530802
No,No,71.788683,31965.74471
No,Yes,1839.143682,13625.397930366498
No,Yes,876.0007779067461,22474.57409
No,No,554.1078115,30357.02598
No,No,891.3178980502761,43945.04165
No,No,464.8363331,27324.89969
No,Yes,563.5426611001619,24082.03934
Yes,No,1530.353157,30003.817151115894
No,No,990.5670262,41690.25262
No,No,590.3997865,42769.20388
No,Yes,715.1641096,21153.51101
No,No,1540.377727,41852.07844
No,No,1243.326518,41639.68038
No,Yes,235.3284999,20909.70475
No,No,528.2543232,49394.34077
No,No,592.2538956228799,30731.2016
No,No,705.204972,42683.18724
No,No,456.515644,48195.77584
No,Yes,470.7175746528061,18052.105
No,Yes,1503.0751298552402,10600.41354
No,No,1362.965595,44217.91604
No,No,908.7715737,45032.84598511519
No,Yes,1096.820272,16148.060006606398
No,No,369.2219425,47835.09105
No,No,673.3998990463481,50256.29021
No,No,1038.500008,51173.14138
No,No,0,28762.92378
No,No,527.1940866,32431.11826
No,No,817.4693368,32974.42735
No,Yes,1549.042755,19702.29321
No,Yes,566.7137894,11853.95317
No,No,1496.056465,24935.91874
No,No,862.6566564,42844.834
No,No,1259.1494178925698,31263.64108
No,No,1025.0388330316198,43510.04964
No,Yes,703.2777871,14793.74268
No,Yes,1082.391497,15175.36121
No,No,910.4490235,44054.91642
No,Yes,996.5438622,16995.6604
No,No,353.778226,58514.31808
No,Yes,782.7108275,13300.29747
No,No,1716.595418,51056.86829
No,Yes,502.8986384,15153.96576
No,No,1033.468469,59203.96766
No,No,0,34925.36541
No,Yes,1087.083499,19263.76958
No,No,1047.244249,43899.759245119305
No,No,1056.927353,38367.86795
No,Yes,979.2244246,26010.887803166603
No,Yes,847.8187063,15978.63363
No,No,781.7712848,50958.79051
No,Yes,402.4888868,15904.055920808702
No,No,204.74018171457695,17534.29054
No,Yes,2022.674643,18336.74317
No,No,748.9370637840241,44186.61776
No,No,838.2756878,35917.49061
No,No,386.0160493,44694.030957029296
No,No,812.3992965,49623.10098
No,Yes,1809.9265643935896,6985.135945395389
No,No,0,30360.54894
No,Yes,1328.183804,24688.47372
No,Yes,1464.936049,26716.68637
No,No,1200.565138,39718.69266
No,No,989.68642,27856.57706
No,No,870.7345799257749,35539.27022
No,Yes,1200.8473900159402,19849.83141
No,Yes,1428.832047,23204.68146
No,No,0,33951.28873
No,Yes,359.4588665,21783.26949
No,No,265.68394978665503,40862.75401
No,No,1027.770532,44406.83691
No,No,729.0474334976179,35042.133
No,No,1042.80492,25867.14772
No,No,230.23058789876703,37875.61482
No,No,367.4660122,30611.272270689704
No,Yes,737.7053539,20863.79967
No,No,18.26128536,30349.46042
No,No,1257.760209,30834.77137
No,No,455.52151320630304,40907.39835
No,No,56.96756035047051,35458.48156
No,Yes,723.9319853,12213.037136841202
No,No,612.3831577,41379.76781
No,Yes,1220.177606,15308.12707
No,No,1222.347692,32363.37105
No,No,1165.491138,47684.219449748896
Yes,No,1642.819997,46856.94704
No,No,944.17356,56088.6838
No,No,749.6080039006731,41423.94117
No,No,370.3751868,31231.007837151403
Yes,No,1991.6491201129895,42133.37318
No,No,773.9152266,44562.33812
No,Yes,817.2498112623939,20480.88706
No,No,1060.71622,50260.46437
Yes,No,1550.449264,56273.51361
No,Yes,454.4669622,15092.43931
No,Yes,1256.239325,17784.55894
No,No,1484.3953929752402,36731.30869
No,Yes,1050.477328,12661.61163
No,No,986.4006189,45430.47221
No,No,717.3419269516879,44266.37654
No,No,692.1432226815821,47038.09032
Yes,No,1328.892725,34710.06237
No,No,673.4681911,32930.06936
No,No,218.639297,48991.39538
No,No,1218.1669658237402,43954.27749
No,Yes,13.51680255,19322.54503
No,Yes,531.4786999,21726.55897
No,No,165.5381517,33436.45574
No,Yes,1351.8497223330198,25890.50399
No,No,107.282083,54143.96274981651
No,No,947.1935714,35604.11719
No,Yes,434.5602592,14812.64524
No,No,1020.06724,37458.87925
No,No,662.305318,31597.89762
No,Yes,754.4206129,20767.68302
No,No,289.4895757,44412.895103307404
No,No,198.03840922970105,36270.93812
No,Yes,516.0604917,16615.02196
No,No,697.5638089897909,41755.39815
No,Yes,502.3247835,16947.422934655202
No,Yes,1459.687083,15575.41923
No,No,716.9987227,34418.26022
No,Yes,1037.972705,18324.03006
No,No,673.0161172,29735.9616
No,No,371.9217847,41099.77244
No,No,89.13495795722281,55604.60753
No,No,1273.280181,40895.28277
No,No,600.723303,18680.51677
No,No,905.0381646367888,40711.7989
No,No,1061.441562,54437.010317302695
No,No,1672.6392483047698,46334.78776
No,Yes,883.7026456,19750.094
No,No,373.78033,53936.24177699441
No,No,1287.795187,52382.6647
No,No,1229.742571,48739.92739
No,Yes,510.613847,22457.05175
No,No,775.6301687,27205.85739
No,No,1152.982887,50206.57693
No,Yes,1303.66259,7986.000336
No,No,1675.278852,28244.503475086804
No,No,398.277733,30001.79506
No,Yes,739.9017594,25023.873856412203
No,No,226.41769651402305,32018.713630514903
No,No,1217.321712,25173.619608049103
No,No,639.8205582,29902.00199
No,Yes,883.1669769,12717.492231299198
No,No,2.287610953,38186.524272791496
No,No,419.6373477,55967.99317
No,Yes,1544.14025,11102.53474
No,No,1101.015018,32153.013592670097
Yes,No,1700.599913,30488.983410456494
No,No,311.82458686811003,48301.05966
No,No,442.8302223,55074.130829000096
No,No,728.8149600612101,17909.58107
No,No,278.8779025,37188.66837
No,No,758.7023275,36625.98955
No,No,620.3396794,22803.74103
No,Yes,1890.167411,18402.46488
No,No,0,28951.451895157203
No,Yes,1329.1988422159402,23184.01555
No,No,1075.863772,44128.62826
No,No,618.5275092,54956.99054
No,No,1111.086576,27466.89368
No,No,864.0397435,45881.93020563071
No,No,895.2298096,48512.45564
No,Yes,954.0304337,21908.527156243603
No,No,947.6349327,46813.516308095706
No,No,267.3037277,23117.92867
No,Yes,1366.805783,23913.2088
No,No,624.7318835,38325.17376
No,No,13.67938267,25221.63767
No,No,785.8664857,44778.01578
No,Yes,1353.093846,18933.49619
No,No,480.3212639,25553.26285
No,No,0,29507.313246921804
No,Yes,1221.971243,17916.85609
No,Yes,1184.936523,25108.75671
No,Yes,478.5720556,27512.3449
No,No,221.69046189335495,34786.10135
No,No,578.3876217,41054.13866
No,Yes,1361.458432,19576.957131991898
No,Yes,977.8480956,19731.96099
No,No,1184.4252448815305,36887.43997
Yes,Yes,1118.701039,21848.4429
Yes,No,1119.097245,37224.56781
No,No,776.3499793073661,31329.48485
No,No,1322.297091,51792.40237
No,No,878.0264575919459,27438.585115052003
No,No,1268.379515,16921.18088
No,No,0,32611.37307
No,No,0,37262.57409
No,Yes,366.7869573140631,25833.0631
No,No,747.5610363778751,39898.76909
No,No,1787.285144,37499.09355
No,Yes,1929.44698,14995.49217
No,No,987.142891,27961.31961
No,Yes,856.3573684,20758.21469
No,No,1101.149707,18153.84432
No,No,704.18452,31515.98168
No,No,555.6234367,40837.73164
No,No,1073.498261,44764.11055
No,No,1126.223023,32842.65237
No,Yes,649.7733186,15708.29638
No,No,977.657621,43743.49673
No,No,1049.889964,42637.51106
No,Yes,1383.5663330639002,15764.34588
No,Yes,1095.46574,14065.16757
No,No,1089.371791,30224.596130462203
No,No,605.2209683061441,21792.321519971694
No,No,1033.885399,49262.04533
No,No,1604.720554,38186.98507
No,No,826.3270259,24679.71504
No,Yes,1176.146823,16670.68079
No,Yes,1275.023199,19937.09803
No,Yes,1290.28314,23538.94414
No,No,1133.4741993193302,51414.49596
No,No,837.4125669,37400.49288
No,Yes,379.0821667,18280.36703
No,Yes,1134.166278,12453.36359
No,No,0,39120.08479
No,No,1491.174803,59394.38308
No,Yes,1695.359586,9582.941897
No,No,705.5733276387201,54589.23986840941
No,No,239.1933663,33743.226552488595
No,Yes,1183.710641,12428.61451
No,No,898.7618389,38267.08158
No,Yes,1524.2904004493398,11719.59348
No,No,777.0237374180381,35115.01855
No,No,1394.795819,26074.934364367204
No,Yes,0,20476.15572
No,No,62.57157516,47946.76709
Yes,No,1981.451815,28127.89547
No,No,514.0540348,50053.26193
No,No,722.788039,53714.18607
No,No,152.8663042,33716.86406
No,No,293.1847729,35390.2876
No,No,0,38613.6205
No,Yes,645.3668572291299,17878.36431
No,Yes,1515.1528330504502,26046.772083109703
No,Yes,767.4395055,18846.48922
No,Yes,491.8797471,21715.2263
No,No,0,41389.43527
No,No,0,34589.48806
No,No,509.15516410599406,40132.65921
No,Yes,965.5873701,16440.0997
No,Yes,1868.5400723074697,20489.59811
No,No,403.4972058,41803.77816
No,No,593.1436251,37670.93502
No,No,0,44547.86555
No,No,742.2900159,39367.19331
No,Yes,1110.100457,13013.610567213602
No,No,771.5512953,49440.40129446861
No,No,624.3388914975831,42492.75307
No,Yes,499.9572298,22884.95257
No,No,1088.63752,60650.03613
No,No,1556.491928,49669.66887
No,Yes,797.0843357314079,23558.68308
No,No,415.9925026,38215.67804
No,Yes,538.2326812,26833.03963
No,Yes,1181.9347023996302,21086.08201
No,Yes,836.0206886270739,9271.789924
No,No,104.4432151,46928.00549
No,No,564.2094786,53196.62302
No,Yes,804.5394022,25091.46077
No,No,1028.95364,21218.30352
No,No,748.7465837,8983.856902
No,No,66.63208073,28735.97411
No,No,452.8022289,48034.23771
No,Yes,798.4605101136669,27724.06575
No,Yes,1941.902928,23467.12697
No,No,1446.101012,22996.4323
No,No,761.0640982905189,61580.03413
No,No,1350.172728,43147.45558
No,No,380.9502006,36943.361994060695
No,Yes,1602.849607,15906.4668
No,No,147.6101155,37588.56261
No,No,0,36283.08013
No,Yes,733.0725124,18818.16738
No,Yes,1082.747976,26096.33703
No,No,779.6573003104761,40804.4757
No,No,994.1587122,65254.0758
No,No,769.1813741,50070.78155
No,Yes,684.0985190962281,4985.169113
No,No,442.5633017,27898.46539
Yes,No,1717.071593,38408.89092
No,No,0,36302.52844
No,No,1092.3458648539802,44717.01258
No,No,497.3349541,35146.798773369504
No,Yes,1149.680655,16907.70074
Yes,No,1465.210164,58699.983197519694
No,No,565.3176041570559,41789.611
No,Yes,922.1378905,12224.18517
No,Yes,175.59938060483998,11510.05787
No,No,1024.946819,49675.56042
No,No,596.8854323,54091.62476
No,No,750.4104842,53084.907480663096
No,Yes,790.8700274,14183.97003
No,No,112.3278725,42386.04856
No,Yes,738.3944873,16093.28455
No,No,1157.8555606887198,54419.80857
No,No,1213.2431492552198,45149.51632
No,No,1339.626204,41656.00289
No,No,588.3124302,56520.96251
No,No,721.8081325,56375.72199
No,No,680.8207189734279,43843.47412
No,Yes,815.4065708734869,12071.7625
No,No,1042.507112,37170.10905
No,Yes,663.2498681,20454.616549328603
No,Yes,1478.618545,18026.4711
No,No,337.756754,33655.57243
No,Yes,1273.55072,23126.636199114106
No,No,114.1797259,49562.98927
No,No,0,52295.60093
No,Yes,1516.317689,26377.59349
No,Yes,898.1146731086129,24164.751100740898
No,No,790.5905821,48219.59447
No,No,0,29072.72149
No,No,1273.24483,49136.4742
No,No,1279.200448,36063.11411
No,Yes,732.7193808889721,14568.74741
Yes,No,1763.5790878946102,46227.074542135706
No,Yes,1280.418448,16310.90553
No,No,1529.937995,36912.8973
No,Yes,345.46763647638903,18251.49456
No,No,197.9894038,33723.98576
Yes,Yes,1770.969441,15975.5372
No,Yes,639.3719435410691,17037.0548
No,No,238.8146439,23526.71091
No,No,390.5558431,45338.357214774005
No,Yes,830.1715111069819,19476.58758
No,Yes,1378.8760756438098,21613.57847
No,No,242.4034493,37364.42309
No,No,1236.547494,36211.49036
No,No,1063.7749366931098,34914.275254552296
No,No,126.923179,33819.14332
No,No,758.4655013,38018.14569
No,No,908.9314586,68758.8784
No,No,558.5183424,46297.42541
No,No,1819.2423333921104,36969.55252
No,Yes,1110.681744,19327.57504
No,No,723.2433746699929,43459.011854297794
No,No,972.031864,18510.94603
No,No,696.0144306496429,40741.42024
No,Yes,1178.248909,29362.60461
No,Yes,329.5585109,19371.81209
No,Yes,792.5292385,14546.30177
No,No,1246.037758,33691.72131
No,No,591.7607765,41670.25738
No,No,244.08113880079105,24854.249823643506
No,No,1038.54836,49944.86515
No,No,679.0745867961531,49488.56398
No,No,1061.415836,40585.22164
No,Yes,1268.240691,11914.57827
No,Yes,955.5336858197952,14736.72088
No,No,1115.82063,27882.80926
No,Yes,601.1632606,22029.193517155494
No,No,1097.600039,52286.43182
No,No,1042.783073,45982.96632
No,Yes,1321.443053,8624.110688742809
No,No,1052.39326,37637.65931
No,No,687.9517010624339,27604.07927
No,Yes,566.4605126,24828.26598
No,No,769.414224,35071.16654
No,No,955.1353421,26372.98582
No,No,643.4095265,28660.140168502203
No,No,0,42745.30201
No,No,437.6360626,45384.04745
No,No,1278.865642,34673.17099
No,No,1639.3905719662698,30624.775928491803
No,No,891.6437372657739,36470.82834
No,Yes,316.4590483,18813.94021
No,No,622.9295074,48874.555768046106
No,No,107.2775268,42287.302862052406
No,Yes,990.5432157739548,12398.4906
No,No,0,45659.99570261849
No,No,0,33119.95533
No,No,591.2184873,35287.82458
No,Yes,928.0600783,21121.84483
No,No,304.5992239,40785.98918
No,No,235.9394977,31336.51012
No,Yes,1108.053518,10853.23094
No,No,687.306397,24563.75768
No,No,60.18603612633161,39864.863550390095
No,No,0,34648.9726
No,No,272.8932571,58730.57286
Yes,No,1531.716459,43930.4001
No,No,949.6086485,47702.57375
No,No,561.9161785,35080.579243822096
No,No,468.1325221969941,25231.346234495697
No,Yes,993.1081699918468,12215.94682
No,No,0,31314.69509
No,Yes,759.4783692,12710.72092
No,No,1340.787209,36440.22832
No,Yes,1521.463396,15210.47407
No,No,133.7433443,30457.01637
Yes,No,780.1725692,51656.87406
No,No,839.9154583495889,22884.79302
No,No,913.5058729,36670.85422303509
No,No,924.8814415,35712.63791
No,No,1197.831505,54652.3093
No,No,49.209665896013206,30451.15286
No,No,970.7160966,48387.648617342005
No,No,783.0574005402581,54082.424084522194
No,Yes,465.0628886,20379.06209
No,No,0,39337.74998
No,Yes,732.2642676,21986.045453650506
No,No,576.0912613,37679.69859
No,Yes,588.9910563,16309.87545
No,No,863.1407178311639,43779.47785
No,No,857.575734,49675.37032
No,No,361.5017311,33674.89024
No,No,891.1554270666729,36023.08501
No,No,918.1222059654468,44738.55603
No,No,1335.028018,21150.85594
No,No,421.4008434,39873.52174
No,Yes,743.6361445,18883.97151
No,No,773.7403725,41872.49476
No,No,731.3934722,45251.88192096781
No,No,964.1889226850052,36330.3946
No,Yes,350.0151843,17657.17266
No,No,1206.6613620544902,37125.59135
No,No,1051.947573,52888.18509633269
No,No,454.76037067783096,45572.17248448599
No,No,932.6653075,42758.6007
No,No,535.7458465,36259.46376
No,No,241.8052522,41186.18281
No,No,1026.50671,42042.16794
No,Yes,187.6798856,18278.83397
No,No,197.53832147914295,58646.927804709805
No,No,585.7080882593609,43288.40038
No,Yes,1947.022401,12147.04641
No,No,829.5475974922681,39717.53761
No,No,196.9384595,35488.44888
No,No,591.8636190185559,31438.77601
No,No,0,39742.105457955295
No,Yes,1008.291619,11939.29526
No,Yes,1052.227478,17410.75159
No,No,331.6805267,49756.17101
No,No,913.107204,29414.65218
No,Yes,561.3916122,21747.26318
No,No,246.955463,47692.89425
No,No,578.9786101,46304.71748
No,No,557.8087771,62352.846074564295
No,Yes,788.2517516,10418.18286
No,No,1060.807429,39174.05636
No,Yes,1247.907029,19816.72014
No,No,1184.360723,34259.9902
No,No,1024.578238,33071.54992
No,No,1080.291656,43367.89957
No,No,540.2790448,26267.156349509503
No,No,1448.835465,33835.73626
No,Yes,561.1940352840099,27421.11126
No,No,1191.480307,30040.57215
No,No,565.1389875,38202.58394
No,No,482.9821952,35845.19283
No,No,950.3500933,37486.24955
No,Yes,350.7029135,21235.36042
Yes,Yes,1551.023469,19027.50863
No,No,981.5962751,37747.91335
No,No,1442.129805,10921.61503
No,No,1060.3358600878698,56607.25397
No,No,1154.890792,61794.346333365706
No,Yes,544.1397693,20056.82854
No,No,1137.1754542272502,27588.93331
No,No,414.0840495,47811.41892
No,Yes,436.0083144,17504.44777
No,No,987.8147997,25809.98028
No,No,679.3918417654701,46603.54641
No,No,1377.772007,51633.32955
No,No,856.8119605,32437.131834894502
No,No,1036.676833,44923.80275
No,No,0,46826.80447
No,No,961.4720707,51936.759887507695
No,No,275.9880913,35622.82945
No,No,426.6935421,30769.34477
No,No,290.25190815260896,46214.15923
No,No,934.9697035,42325.749985443705
No,Yes,668.9911556,26342.04846
No,Yes,2004.727568,27136.537977006203
No,No,1312.86573,29938.25946
No,Yes,662.2735565,15092.05102
No,No,524.639806,36120.89226
No,Yes,1212.589568,21058.34866
No,No,961.3157693519812,30290.806504884305
Yes,Yes,1504.2901781378698,13965.18604
No,Yes,613.656318,25040.48845
No,Yes,1233.343605,13402.07329
No,No,1221.385959,36961.31512
No,No,1217.056807,46256.780487294505
No,No,628.7576984,43205.175297532594
No,Yes,819.0973161,15957.94364
No,Yes,843.4934551,12710.02571
No,No,1173.559815,29141.36573
No,Yes,1195.590283,13329.5964
No,No,1202.883124,12288.12708
No,No,24.87182349,29316.97033
No,No,853.2414215846879,29484.05238
No,No,398.7757053,40223.909807938704
No,Yes,1521.172396,18149.88619
No,Yes,1160.2217927032302,15941.05088
No,No,985.6140627369948,49948.46711
No,No,583.8207193,38215.96476
No,Yes,638.6919826,18148.30171
No,No,384.99771946375097,25380.70345
No,No,1050.764231,31558.89842
Yes,Yes,1871.938387,18077.48709
No,No,793.7617176,35157.73998
No,Yes,591.6606513329609,21790.50243
No,No,419.4764413,24001.5122
No,Yes,514.2838902,18185.479697486106
No,No,1027.8950352508198,21551.61109
No,Yes,1029.681549,15977.32114
No,Yes,953.6263238,18363.0685
No,Yes,1463.3377651496398,11579.15945
No,No,1172.459499,34690.13828
No,Yes,548.2728639,12048.82289
No,No,1752.883789,48250.10462
No,Yes,555.9206802,23909.70649
No,Yes,1560.931752,13621.56916
No,Yes,839.8835566,16883.33886
No,Yes,1112.817978,13634.90763
No,No,1309.253772,43278.05928
No,No,940.5908748,41560.47099
No,No,1019.248977,41195.37012
No,No,433.6690195,32904.69772
No,No,1015.115425,42050.46652
No,No,75.17766307,52765.97828
No,No,1050.316376,39585.62422434621
No,No,48.91185684,35155.17247
No,No,1721.64778,48236.12633
No,No,1607.3514404307598,48700.84805
No,No,1180.4475417055198,43914.41982
No,No,609.8771346,40875.94654
No,Yes,1054.200208,19440.97318
No,Yes,793.8204657021339,19074.03173
No,No,879.6756179,30021.383346503106
No,No,1237.647422,29151.23466
No,Yes,1412.764358,18234.45922
No,Yes,1174.716483,13025.76945
No,No,363.3448038,44325.78885
No,No,919.4857763,44928.184639380896
No,Yes,1195.0596696449002,21648.65668
No,Yes,794.1377878,15721.799659196202
No,No,10.18881851,33776.82546
No,No,0,31083.22146
No,Yes,498.5059792,16967.61976
No,Yes,1227.161107,18459.41861
Yes,No,1902.612991,53394.07623
No,Yes,1059.204637,11742.37986
No,Yes,450.3053908,21177.61108
No,No,418.5398704352861,55002.73341
No,No,1070.480677,32939.36671
No,No,1306.770573,56640.63403
No,Yes,1315.337298,8431.175004
No,No,74.53342519575759,19146.24563
